id;user_id;product_id;quantity;selected_options;created_at;updated_at;total_price
39e4747a-3036-4be7-bc4a-f568d289e4e7;146f4a71-90ff-45cb-ace2-93f6a0777b10;08587f4c-8dab-4f3f-af81-c17b2399f93a;1;"{""slider_config"":""Divine Orbs: 300"",""slider_value"":300}";2026-01-11 00:40:55.650329+00;2026-01-11 00:40:55.650329+00;5.751227999999999
c9eccf99-96a2-4d02-ac2a-eeaf25839b2b;dfb6da1c-993f-488b-a968-893a23905be5;c11cf2e9-7898-431e-bded-51e147bd6ed6;1;"{""boost"":""Pilot"",""gearset"":""Normal Set (496 ilvl)"",""reg"":""EU""}";2025-11-26 18:39:07.220029+00;2025-11-26 18:39:07.220029+00;239.96
f8ede837-49bd-4098-a291-f4d0b50a30a2;a6d532e1-cbe4-4862-a70a-f1b7762e3143;1755c8c6-8198-4e5b-9a42-d789f9cbe350;1;"{""bmherotal"":""Pilot"",""herolist-All Heroes Discounted"":false,""herolist-Ardeos"":false,""herolist-Elarion"":false,""herolist-Helena"":false,""herolist-Mara"":false,""herolist-Meiko"":false,""herolist-Rime"":false,""herolist-Sylvie"":false,""herolist-Tariq"":false,""herolist-Vigour"":false,""regionhero"":""EU"",""talenttype"":""Contender""}";2026-02-09 07:46:56.361795+00;2026-02-09 07:46:56.361795+00;0.95
3489f825-3a77-4918-b1c2-6a23362c2f13;b00c50ee-2607-4102-8e0a-b17a4a00021e;58aad526-c357-4a77-9ead-c9b83004fdf9;1;"{""bmtbv"":""Pilot"",""classtbc"":""Mage"",""expresslvl"":""30% Faster"",""slider_end"":70,""slider_range"":""Start Level: 60 - End Level: 70"",""slider_start"":60,""tbclvlreg"":""EU""}";2026-01-24 21:10:11.507115+00;2026-01-24 21:10:11.507115+00;260
4aa39cc1-94f4-4932-a23e-f642d206fe65;b82f29b4-b7fe-4d5e-a948-e83d1abd9b56;95ff4f94-2563-4b9e-8705-e3733f773863;1;"{""slider_config"":""Amount of Gold: 11550"",""slider_value"":11550}";2026-01-25 16:57:43.187266+00;2026-01-25 16:57:43.187266+00;0
65b7d479-baef-4855-957a-d4b7b9be4554;b93827d0-5416-42d5-b1ac-d7c0e2e4887c;41bf4151-4d2d-4f49-b454-b53abbd5b706;1;"{""bmprepatch"":""Pilot"",""prepatchclass"":""Priest"",""regprepatch"":""NA"",""slider_end"":60,""slider_range"":""Start Level: 58 - End Level: 60"",""slider_start"":58}";2026-01-25 22:05:03.857818+00;2026-01-25 22:05:03.857818+00;20
dece6af5-ac9c-4e09-a902-f8fc92dbb07f;4af9670b-7370-4dd2-b1c5-9d80d85a3034;1deec384-bad8-463c-9623-228714ca2eba;1;"{""slider_end"":60,""slider_range"":""Start Value: 1 - End Value: 60"",""slider_start"":1}";2026-01-19 05:28:21.814396+00;2026-01-19 05:28:21.814396+00;8.066889632107022
ad3ef7c1-64c4-402e-8c45-bdb39b6ee653;54afff12-6906-4281-97d5-3523047875d4;58aad526-c357-4a77-9ead-c9b83004fdf9;1;"{""bmtbv"":""Pilot"",""expresslvl"":""Standard Speed"",""slider_end"":70,""slider_range"":""Start Level: 60 - End Level: 70"",""slider_start"":60,""tbclvlreg"":""NA""}";2025-12-11 23:51:19.620643+00;2025-12-11 23:51:19.620643+00;200
343aff9f-b6f8-4f5e-948e-104df07f4cc2;9da19073-67ce-4e33-b4b5-b040794abd6f;0020f314-d0a1-4d89-98b2-aeec0aaa87fb;1;"{""slider_end"":1,""slider_range"":""Current Prestige: 0 - Desired Prestige: 1"",""slider_start"":0}";2025-12-13 19:01:22.395836+00;2025-12-13 19:01:22.395836+00;1251
429f07b7-60dd-4beb-8f3d-ba534b218db8;8d7eb294-9ebc-4d06-b203-d37a5be7f4ce;95ff4f94-2563-4b9e-8705-e3733f773863;1;"{""delgoldfresh"":""Trade"",""factiongold"":""Horde"",""serverid"":""US Nightslayer – PvP"",""slider_config"":""Amount of Gold: 950"",""slider_value"":950}";2026-01-26 21:36:35.675248+00;2026-01-26 21:36:35.675248+00;62.1262
