id;url_path;content_type;content_id;deleted_at;deleted_by;original_title;created_at
1fb0a2fe-b26a-44f6-9320-1c223085b327;/game/wow-mistsofpandaria-classic/leveling/test-410;product;86eec0f6-d833-4753-b1b5-b901c124811d;2025-11-11 15:37:14.401607+00;03765a40-f338-4035-a2ba-8928fff30834;test 410;2025-11-11 15:37:14.401607+00
b7406c90-e0c0-4790-b3e5-22ae4a963d5a;/game/wow-mistsofpandaria-classic/leveling/test-prod;product;557ba522-7f8c-4f52-988a-e76c28bc4769;2025-11-11 15:42:34.428723+00;03765a40-f338-4035-a2ba-8928fff30834;test prod;2025-11-11 15:42:34.428723+00
4af1b9f6-18f9-45da-833d-46ddff1f0630;/game/test-game1;game;45e8f936-eed6-41f8-8fe4-81cbdd1b295a;2025-11-21 08:17:04.324012+00;03765a40-f338-4035-a2ba-8928fff30834;test ;2025-11-21 08:17:04.324012+00
8c5ca640-7cf8-4c25-a192-beba6b68951c;/game/buy-destiny-rising-boost/main-story-quests/test-ca;product;c799cb92-b6f9-43a7-843d-7ee2bce4bac1;2025-11-21 17:39:15.422802+00;03765a40-f338-4035-a2ba-8928fff30834;test ca;2025-11-21 17:39:15.422802+00
70325c2a-16c2-4b3d-9cf2-50cbbbf09a04;/game/warwithin/mounts/glory-of-the-liberation-of-undermine-raider;product;31bb12e2-92f5-41e5-8c71-302448f74299;2025-11-24 22:08:00.794506+00;03765a40-f338-4035-a2ba-8928fff30834;Glory of the Liberation of Undermine Raider;2025-11-24 22:08:00.794506+00
11abf234-a6c7-4598-b189-af6cd0b6db07;/game/warwithin/mounts/void-scarred-gryphon;product;c32a307e-9c88-45b4-b2b0-b6fd7f64fa9a;2025-11-26 00:43:07.528394+00;03765a40-f338-4035-a2ba-8928fff30834;Void-Scarred Gryphon;2025-11-26 00:43:07.528394+00
ebbe4209-c9fb-4f75-8386-a9005cb80e35;/game/warwithin/mounts/void-scarred-windrider;product;30f9932a-730e-4b23-bf48-ddb174040610;2025-11-26 01:21:53.752377+00;03765a40-f338-4035-a2ba-8928fff30834;Void-Scarred Windrider;2025-11-26 01:21:53.752377+00
584e6b66-54b3-4024-af5b-23ad518e8f8f;/game/wow-tbc-fresh/leveling/custom-product1;product;76fac129-df44-4fc0-ad47-3f8489454eac;2025-11-28 19:32:40.146647+00;03765a40-f338-4035-a2ba-8928fff30834;Custom product;2025-11-28 19:32:40.146647+00
6b9f6b74-d765-40c1-8f42-6deb1ca9ed6d;/game/escape-from-tarkov/leveling/escape-from-tarkov-bitcoin-farm-boost;product;dcb86f1b-0cdf-47ac-9f9f-69461b6f0481;2025-12-06 21:39:42.042854+00;03765a40-f338-4035-a2ba-8928fff30834;Bitcoin Farm;2025-12-06 21:39:42.042854+00
58930a08-999f-44a9-82d7-a21c69176ea6;/game/wow-mistsofpandaria-classic/raids/mop-classic-throne-of-thunder-boost;product;48dca19a-6c35-474b-b764-d90814fbce81;2025-12-29 22:04:23.012857+00;03765a40-f338-4035-a2ba-8928fff30834;Mists of Pandaria Classic Throne of Thunder Boost;2025-12-29 22:04:23.012857+00
144c0a1c-167c-4157-80f6-9c578cc49a98;/game/warwithin/legacy-content/custom-offer-1;product;ddeef851-2651-4388-9a28-2a185de1c0a9;2026-01-15 21:41:08.209108+00;03765a40-f338-4035-a2ba-8928fff30834;Custom offer;2026-01-15 21:41:08.209108+00
0048a053-8f20-45d4-bf6c-7dba6069b6ca;/game/warwithin/legion-remix/legion-remix-all-raids-bundle;product;c4dd2591-d550-4ed7-9018-a13e2e6e923c;2026-01-19 09:58:26.897115+00;03765a40-f338-4035-a2ba-8928fff30834;Legion Remix All Raids Bundle;2026-01-19 09:58:26.897115+00
e699a6c9-32c2-4078-89b2-67c0c99e175e;/game/warwithin/legion-remix/legion-remix-bronze;product;9bfa8f04-6e7d-4dba-914b-ca0ce9dd581c;2026-01-19 09:58:30.09091+00;03765a40-f338-4035-a2ba-8928fff30834;Legion Remix Bronze;2026-01-19 09:58:30.09091+00
cf114167-0b55-474e-b095-a3fa244eca57;/game/warwithin/legion-remix/wow-legion-remix-timeworn-keystone-dungeons-boost;product;621df299-09e2-4fd0-bd45-1f419d57ad06;2026-01-19 09:58:32.550542+00;03765a40-f338-4035-a2ba-8928fff30834;WoW Legion Remix Timeworn Keystone Dungeons Boost;2026-01-19 09:58:32.550542+00
405e3b7f-37d8-4023-9bdf-108982b4c578;/game/warwithin/legion-remix/legion-remix-bundle;product;9020e0c7-4f03-4f11-9c47-e11c959a0d53;2026-01-19 09:58:36.570142+00;03765a40-f338-4035-a2ba-8928fff30834;Legion Remix Bundle;2026-01-19 09:58:36.570142+00
76e5ef60-555f-4007-9706-fd854942218c;/game/warwithin/legion-remix;category;a1ad2e8c-17e4-4c55-945b-f5ead15b9d03;2026-01-19 09:58:49.278743+00;03765a40-f338-4035-a2ba-8928fff30834;Legion Remix;2026-01-19 09:58:49.278743+00
c7563eda-9f30-4d7b-8f42-63f4902f80e6;/game/warwithin/wow-21st-anniversary/bronze-celebration-tokens;product;3d3f82de-f0a3-499c-9adc-6ee2b90cf4f2;2026-01-19 09:59:05.713915+00;03765a40-f338-4035-a2ba-8928fff30834;Bronze Celebration Tokens;2026-01-19 09:59:05.713915+00
5bfad19a-21e6-4bc4-afb7-c3e6b4314fa9;/game/warwithin/wow-21st-anniversary/renewed-tier-2-transmog;product;14f0b537-8f30-40c5-bca6-b6cac3334624;2026-01-19 09:59:08.173106+00;03765a40-f338-4035-a2ba-8928fff30834;Renewed Tier 2 Transmog;2026-01-19 09:59:08.173106+00
4ffc532c-a4ec-4701-8713-30d25f7ac427;/game/warwithin/wow-21st-anniversary;category;2342e140-7132-45e1-93b2-b5f1fcb9dbb1;2026-01-19 09:59:30.575382+00;03765a40-f338-4035-a2ba-8928fff30834;WoW 21st Anniversary;2026-01-19 09:59:30.575382+00
e661562e-5132-4d5b-864f-d2f7513f7615;/game/wow/leveling-and-gearing/wow-karesh-campaign-boost;product;c9cb8130-d38e-46e4-bf60-ba8af18d257d;2026-01-29 22:46:50.569937+00;03765a40-f338-4035-a2ba-8928fff30834; WoW K’aresh Campaign Boost ;2026-01-29 22:46:50.569937+00
cb9eed01-8c3e-470f-a055-f1ae83f61e15;/game/wow/leveling-and-gearing/tww-campaign-boost;product;e406c941-6a28-46ef-88ee-7afa0ee04e61;2026-01-29 22:47:01.195385+00;03765a40-f338-4035-a2ba-8928fff30834; TWW Campaign Boost ;2026-01-29 22:47:01.195385+00
13769288-2300-4984-a9a3-31a5d0778721;/game/wow/raids/manaforge-omega-normal;product;e7f03ac7-c9f4-4c6b-9e1c-080dea902b12;2026-01-29 22:47:16.074753+00;03765a40-f338-4035-a2ba-8928fff30834;Manaforge Omega Normal;2026-01-29 22:47:16.074753+00
0b6420ba-deb6-409c-a4a2-63b71867f0db;/game/wow/housing/wow-community-coupons-farm;product;9d01b2ac-d01f-49bb-a88c-d8adcffe2ab4;2026-01-30 10:16:39.634731+00;03765a40-f338-4035-a2ba-8928fff30834;WoW Community Coupons Farm;2026-01-30 10:16:39.634731+00
ba5ca094-69a0-46e3-8535-359f9540029f;/game/wow/raids/dimensius-heroic;product;33385822-8142-4481-94a8-2b16d467e024;2026-02-06 01:46:56.125829+00;03765a40-f338-4035-a2ba-8928fff30834;Dimensius Heroic;2026-02-06 01:46:56.125829+00
ac170fc4-6bec-4cd0-bd1b-84767e2f568d;/game/wow/raids/manaforge-omega-heroic;product;b85bdb81-b8b5-43db-b31a-6e60669f96ef;2026-02-06 01:47:03.241644+00;03765a40-f338-4035-a2ba-8928fff30834;Manaforge Omega Heroic;2026-02-06 01:47:03.241644+00
9d27f28b-808e-4465-8f74-4a075c4d3027;/game/wow-tbc-fresh/gearing/tbc-anniversary-tabard-of-the-protector-carry;product;e9329e67-b476-4ed7-be5a-92d519fb5538;2026-02-06 15:15:23.570925+00;03765a40-f338-4035-a2ba-8928fff30834;TBC Anniversary Tabard of the Protector Carry;2026-02-06 15:15:23.570925+00
dae04e86-c873-4361-921a-dc14640e42e7;/game/wow/delves/nexus-princess-kyveza-challenge;product;e08341ff-defc-4d3b-8014-62683c6073c1;2026-02-09 11:29:12.271824+00;03765a40-f338-4035-a2ba-8928fff30834;Nexus-Princess Ky'veza Challenge;2026-02-09 11:29:12.271824+00
9294144b-9477-4f15-967e-d6492337f586;/game/wow/delves/pruning-the-princess;product;d7929c76-2011-4346-92ea-9641495c9d43;2026-02-09 11:30:18.844081+00;03765a40-f338-4035-a2ba-8928fff30834;Pruning the Princess;2026-02-09 11:30:18.844081+00
772e34a5-b12a-49b3-ac43-74ba660757d2;/game/wow-tbc-fresh/pvp/wow-tbc-classic-rank-14-pvp-set-boost;product;1053df41-5a9a-404b-8b88-313f17ebde57;2026-02-09 18:35:56.72052+00;03765a40-f338-4035-a2ba-8928fff30834;Rank 14 PvP Set;2026-02-09 18:35:56.72052+00
