id;entity_type;product_id;product_option_id;option_value_label;product_slug;product_name;game_name;category_name;price;currency;last_updated;base_quantity;quantity_unit;price_per_unit
df5ecc03-117b-48b0-96c4-d4c4bdf9492f;option;3cbd020e-22ab-414d-9cd2-7b73a1dc5e3b;f06ed006-b826-4b93-beab-a05fa944db9f;Developer's Secrets Part 1;eft-mechanic-quests-boost;Mechanic Quests - Developer's Secrets;Escape From Tarkov;Quests;16;USD;2026-01-07 18:31:29.045+00;1;unit;16
7aadc48d-311d-4c19-b41a-e13880ba52e1;product;07c5a6dd-e714-4db7-92b6-54707d54921d;;;celestial-riding-ox;Celestial Riding Ox;Mists of Pandaria;Mounts;263.96;USD;2026-01-07 17:57:05.503+00;1;unit;263.96
1b5f5abc-85ec-4794-b246-ab9cf456af4a;option;4b7324c2-79f9-4502-aa15-e1528e75dae1;9ae81e9a-8ea0-4982-90b0-6c4fbfd28931;Informed Means Armed;eft-skier-quests-boost;Skier Quests  - Other Quests;Escape From Tarkov;Quests;26;USD;2026-01-07 18:31:32.69+00;1;unit;26
93b27ba9-6c01-44d4-a396-28adfa2fba6c;option;9090c2e2-8451-48a7-b9ef-60fe8eabb118;53ffaa39-f7b6-41cd-9f21-ec0eeefaf2a0;Sanitary Standards Part 2;eft-therapist-quests-boost;Therapist Quests - Sanitary Standards ;Escape From Tarkov;Quests;9;USD;2026-01-07 18:31:37.292+00;2;unit;4.5
a5095cf6-85e5-46a0-86a2-7bb7b5b9d96d;product;8f46392e-f611-4b2c-bda2-41fce49f06e5;;;glory-of-the-omega-raider-boost;Glory of the Omega Raider Boost;War Within;Achievements;96.87;USD;2026-01-07 17:57:23.114+00;1;unit;96.87
3b1ba4a0-2be9-4e76-bb53-b4ccc15037e1;option;e904fa6c-7dd8-420d-a6ba-52800480b8c0;f75a1bed-f61d-4756-aec1-a5f79fcab0d6;Honored - Revered;the-maghar;The Mag'har - Desired Reputation Level;WoW: TBC;Reputations;39;USD;2026-01-07 18:31:40.997+00;1;unit;39
fd687395-6e3a-4cf1-af63-be488bfd6aa3;product;3459e362-5cfd-4607-89a7-15b8329bfb36;;;vicious-void-creeper;Vicious Void Creeper;War Within;Mounts;50.15;USD;2026-01-07 17:57:56.155+00;1;unit;50.15
e8ebb2c0-c9d0-49d8-a15f-d457d86d1fa0;product;4b6a15b0-4764-431f-8372-6e9f180c4436;;;tier-05-set;Tier 0.5 Set;20th Anniversary WoW;Gear;167.16;USD;2026-01-07 18:12:10.546+00;1;unit;167.16
9f6b8c48-304b-489c-a312-11027c4a541a;product;006c20cd-0aa1-4429-bae9-974f3c5e4a61;;;dustback-steed;Dustback Steed;Diablo IV;Mounts;0;USD;2026-01-07 18:12:16.139+00;1;unit;0
fde71feb-3ad5-4e7a-9a6c-39f0390cd573;product;91f7fc88-3b7b-4802-9446-f9230a8b4a61;;;loremaster-of-pandaria-achievement;Loremaster of Pandaria Achievement;Mists of Pandaria;Achievements;0;USD;2026-01-07 18:12:21.314+00;1;unit;0
eb630778-c38f-42ea-a74a-257997966e81;product;12b43851-c09f-4767-913a-851984a2e5d1;;;pale-steed;Pale Steed;Diablo IV;Mounts;0;USD;2026-01-07 18:12:25.698+00;1;unit;0
e043ac49-d226-4eb4-a974-36a8985af382;option;2d246a3b-4d8e-4789-92d6-384d15904dec;09c0081a-ca1a-4bdb-bbed-82e190ccc4dd;Friendly - Honored;darkfuse-solutions-reputation-boost;Darkfuse Solutions Reputation Boost - Reputation;War Within;Reputations;13.4;USD;2026-01-07 18:32:00.891+00;1;unit;13.4
4ed74892-e388-41ae-97ce-a82dad46de50;option;7e7fb27d-27e9-4e93-bfef-dc89a31babf5;b9350cf4-0d52-4075-af9d-c8facf94410c;Pilot;glory-of-the-ulduar-raider-boost;Glory of the Ulduar Raider Boost - Boost Mode;War Within;Achievements;0;USD;2026-01-07 18:32:13.934+00;1;unit;0
f01cd5ea-f932-4f51-b083-37d3f7da18eb;option;0538bef4-3fd6-415a-814b-4a052ba7284c;d063ac64-d105-47e9-a889-d3816348bc38;Neutral - Friendly;the-tillers;The Tillers - Select Desired Reputation Level;Mists of Pandaria;Reputations;5.28;USD;2026-01-07 18:32:31.857+00;1;unit;5.28
79e634e9-3175-45fc-80bd-c22a8c30b59f;option;b6b3e826-a628-4349-b8d3-e9212236d73d;e6de4a64-5e9f-45d4-91f1-36c8143f3fc4;High Roll Unique Power;gospel-of-the-devotee-9709;Gospel of the Devotee - Extra Power ;Diablo IV;Items;8.8;USD;2026-01-07 18:32:34.806+00;1;unit;8.8
c1b3eb25-da27-45dc-92b1-7b373afa1c24;option;c44e51a6-6928-4e15-9740-8ddf01790e56;b887ad02-44bf-4073-b3ad-820ed969eef7;Mall Cop ;eft-prapor-quests-boost;Prapor Quests  - Gendamerie ;Escape From Tarkov;Quests;45;USD;2026-01-07 18:31:21.532+00;1;unit;45
dbe83b38-fc91-442b-91a3-ce30a6b2913b;option;4ce9d86c-8ab6-45f3-9de2-f58801d6e938;9afb2e62-5b00-4280-ad36-3bf54a63fef1;NA;reins-of-the-heavenly-golden-cloud-serpent;Reins of the Heavenly Golden Cloud Serpent - Region;Mists of Pandaria;Mounts;0;USD;2026-01-07 18:31:22.91+00;1;unit;0
fe7db0e9-0140-4cb3-9a66-7c4dc2e892a6;product;4352b0bd-f585-484f-a07b-930a69c720a4;;;blue-barry;Blue Barry ;War Within;Mounts;24.65;USD;2026-01-07 17:57:11.723+00;1;unit;24.65
fd317ce9-1da0-44d5-863d-bc360f579c2a;product;4986b14a-139a-469a-b851-8a625643cb94;;;full-pvp-gear;Full PvP Gear;War Within;PvP;0;USD;2026-01-07 17:57:27.33+00;1;unit;0
f6582bca-c601-45e5-a230-0a2a39746819;product;dbe52b9e-9820-4068-8c15-1a0bf89b01c3;;;blackwater-cartel-reputation-boost;Blackwater Cartel Reputation Boost;War Within;Reputations;0.81;USD;2026-01-07 17:57:41.606+00;1;unit;0.81
b0108fc5-0423-47e0-ace9-851a0f94e920;product;eb13d0c2-7165-42bb-96b9-feab8c0d92f9;;;blood-bay-steed;Blood Bay Steed;Diablo IV;Mounts;0;USD;2026-01-07 17:57:57.325+00;1;unit;0
1001c816-fc18-4eb9-8d63-0ba5febed907;option;e1d90154-c93d-48b1-9a90-817bd82de73c;bff1b4ef-9d27-47ef-aeff-d99b194d25ac;Conquest Challenge 2;battlefield-6-challenges-assignments-completion-boost;Battlefield 6 Challenges & Assignments Completion Boost  - Assignments ( Unit );Battlefield 6;Leveling;18;USD;2026-01-07 18:32:17.181+00;2;unit;9
6454b1a5-ba8b-406c-8d13-d02485161b86;option;e1d90154-c93d-48b1-9a90-817bd82de73c;bff1b4ef-9d27-47ef-aeff-d99b194d25ac;Escalation Challenge 4 ;battlefield-6-challenges-assignments-completion-boost;Battlefield 6 Challenges & Assignments Completion Boost  - Assignments ( Unit );Battlefield 6;Leveling;46;USD;2026-01-07 18:32:17.629+00;4;unit;11.5
08e9ac01-2d46-472b-abd0-9d4cf731799a;option;e1d90154-c93d-48b1-9a90-817bd82de73c;bff1b4ef-9d27-47ef-aeff-d99b194d25ac;Team Deathmatch Challenge 3 ;battlefield-6-challenges-assignments-completion-boost;Battlefield 6 Challenges & Assignments Completion Boost  - Assignments ( Unit );Battlefield 6;Leveling;27;USD;2026-01-07 18:32:18.543+00;3;unit;9
d303fb60-a349-476e-8a56-5c3260113c31;product;7e760c51-3a4b-4d8c-b960-d3ba80378862;;;striped-steppe-steed;Striped Steppe Steed;Diablo IV;Mounts;0;USD;2026-01-07 18:12:34.291+00;1;unit;0
39618534-6793-46e6-902b-8734f7e37e1d;option;e1d90154-c93d-48b1-9a90-817bd82de73c;8463fa5f-8430-4530-834c-ed01f7c26daf;Recon Challenge 3;battlefield-6-challenges-assignments-completion-boost;Battlefield 6 Challenges & Assignments Completion Boost  - Assignments ( Class );Battlefield 6;Leveling;18;USD;2026-01-07 18:32:16.264+00;3;unit;6
2f4725ae-a703-4810-ba2f-f42b967bd7f0;option;e1d90154-c93d-48b1-9a90-817bd82de73c;0ea5c975-bdba-450c-9920-2528959f7ab0;Large Modes Challenge 2;battlefield-6-challenges-assignments-completion-boost;Battlefield 6 Challenges & Assignments Completion Boost  - Assignments ( Initiation );Battlefield 6;Leveling;8;USD;2026-01-07 18:32:16.736+00;2;unit;4
3c02a110-530f-4192-ae3a-4255a3a6d545;option;c44e51a6-6928-4e15-9740-8ddf01790e56;18335bbe-aea3-4031-a8da-8426560bb236;Easy Job Part 2 ;eft-prapor-quests-boost;Prapor Quests  - Easy Job ;Escape From Tarkov;Quests;35;USD;2026-01-07 18:31:21.398+00;2;unit;17.5
